------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.2.81 port 5001 connected with 192.168.2.85 port 41129
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  13.4 MBytes   112 Mbits/sec   0.263 ms    0/ 9542 (0%)
[  3]  1.0- 2.0 sec  13.1 MBytes   110 Mbits/sec   0.164 ms    0/ 9340 (0%)
[  3]  2.0- 3.0 sec  13.0 MBytes   109 Mbits/sec   0.155 ms    0/ 9296 (0%)
[  3]  3.0- 4.0 sec  13.0 MBytes   109 Mbits/sec   0.200 ms    0/ 9243 (0%)
[  3]  4.0- 5.0 sec  12.7 MBytes   106 Mbits/sec   0.173 ms    3/ 9039 (0.033%)
[  3]  5.0- 6.0 sec  13.0 MBytes   109 Mbits/sec   0.275 ms    0/ 9307 (0%)
[  3]  6.0- 7.0 sec  13.6 MBytes   114 Mbits/sec   0.164 ms    0/ 9695 (0%)
[  3]  7.0- 8.0 sec  12.9 MBytes   108 Mbits/sec   0.125 ms    0/ 9201 (0%)
[  3]  8.0- 9.0 sec  12.8 MBytes   108 Mbits/sec   0.123 ms    0/ 9142 (0%)
[  3]  9.0-10.0 sec  12.9 MBytes   108 Mbits/sec   0.411 ms    0/ 9175 (0%)
[  3] 10.0-11.0 sec  12.4 MBytes   104 Mbits/sec   0.476 ms    0/ 8812 (0%)
[  3] 11.0-12.0 sec  9.07 MBytes  76.1 Mbits/sec   1.161 ms    0/ 6469 (0%)
[  3] 12.0-13.0 sec  6.73 MBytes  56.5 Mbits/sec   2.033 ms    2/ 4806 (0.042%)
[  3] 13.0-14.0 sec  4.56 MBytes  38.2 Mbits/sec   1.253 ms    0/ 3250 (0%)
[  3] 14.0-15.0 sec  3.53 MBytes  29.6 Mbits/sec   1.036 ms    1/ 2519 (0.04%)
[  3] 15.0-16.0 sec  3.64 MBytes  30.6 Mbits/sec   0.631 ms    0/ 2599 (0%)
[  3] 16.0-17.0 sec  4.20 MBytes  35.2 Mbits/sec   1.400 ms    1/ 2998 (0.033%)
[  3] 17.0-18.0 sec  3.60 MBytes  30.2 Mbits/sec   1.462 ms    0/ 2565 (0%)
[  3] 18.0-19.0 sec  3.40 MBytes  28.5 Mbits/sec   0.620 ms    1/ 2426 (0.041%)
[  3] 19.0-20.0 sec  4.02 MBytes  33.7 Mbits/sec   1.004 ms    1/ 2869 (0.035%)
[  3] 20.0-21.0 sec  3.21 MBytes  27.0 Mbits/sec   2.491 ms    2/ 2294 (0.087%)
[  3] 21.0-22.0 sec  4.22 MBytes  35.4 Mbits/sec   0.767 ms    2/ 3011 (0.066%)
[  3] 22.0-23.0 sec  3.38 MBytes  28.4 Mbits/sec   0.819 ms    1/ 2414 (0.041%)
[  3] 23.0-24.0 sec  3.79 MBytes  31.8 Mbits/sec   1.731 ms    4/ 2705 (0.15%)
[  3] 24.0-25.0 sec  4.19 MBytes  35.2 Mbits/sec   1.951 ms    0/ 2989 (0%)
[  3] 25.0-26.0 sec  3.76 MBytes  31.5 Mbits/sec   0.752 ms    1/ 2681 (0.037%)
[  3] 26.0-27.0 sec  4.59 MBytes  38.5 Mbits/sec   0.447 ms    0/ 3273 (0%)
[  3] 27.0-28.0 sec  3.58 MBytes  30.0 Mbits/sec   0.827 ms    0/ 2552 (0%)
[  3] 28.0-29.0 sec  4.53 MBytes  38.0 Mbits/sec   1.005 ms    1/ 3232 (0.031%)
[  3] 29.0-30.0 sec  3.31 MBytes  27.8 Mbits/sec   1.275 ms    0/ 2361 (0%)
[  3] 30.0-31.0 sec  3.26 MBytes  27.4 Mbits/sec   1.481 ms    1/ 2329 (0.043%)
[  3] 31.0-32.0 sec  3.53 MBytes  29.6 Mbits/sec   2.299 ms    0/ 2521 (0%)
[  3] 32.0-33.0 sec  4.64 MBytes  38.9 Mbits/sec   1.021 ms    0/ 3308 (0%)
[  3] 33.0-34.0 sec  3.95 MBytes  33.2 Mbits/sec   0.861 ms    1/ 2822 (0.035%)
[  3] 34.0-35.0 sec  3.42 MBytes  28.7 Mbits/sec   1.583 ms    0/ 2441 (0%)
[  3] 35.0-36.0 sec  2.98 MBytes  25.0 Mbits/sec   0.537 ms    1/ 2126 (0.047%)
[  3] 36.0-37.0 sec  3.51 MBytes  29.5 Mbits/sec   0.241 ms    1/ 2506 (0.04%)
[  3] 37.0-38.0 sec  4.15 MBytes  34.8 Mbits/sec   0.390 ms    2/ 2959 (0.068%)
[  3] 38.0-39.0 sec  3.86 MBytes  32.4 Mbits/sec   4.872 ms    1/ 2752 (0.036%)
[  3] 39.0-40.0 sec  3.64 MBytes  30.5 Mbits/sec   5.047 ms    1/ 2594 (0.039%)
[  3] 40.0-41.0 sec  3.38 MBytes  28.3 Mbits/sec   3.006 ms    1/ 2411 (0.041%)
[  3] 41.0-42.0 sec  3.49 MBytes  29.2 Mbits/sec   1.140 ms    0/ 2486 (0%)
[  3] 42.0-43.0 sec  3.54 MBytes  29.7 Mbits/sec   4.021 ms    1/ 2528 (0.04%)
[  3] 43.0-44.0 sec  3.98 MBytes  33.4 Mbits/sec   2.270 ms    3/ 2842 (0.11%)
[  3] 44.0-45.0 sec  3.21 MBytes  26.9 Mbits/sec   0.431 ms    3/ 2292 (0.13%)
[  3] 45.0-46.0 sec  4.46 MBytes  37.4 Mbits/sec   2.047 ms    0/ 3179 (0%)
[  3] 46.0-47.0 sec  3.21 MBytes  26.9 Mbits/sec   2.986 ms    3/ 2294 (0.13%)
[  3] 47.0-48.0 sec  2.68 MBytes  22.5 Mbits/sec   6.678 ms    3/ 1913 (0.16%)
[  3] 48.0-49.0 sec  3.31 MBytes  27.8 Mbits/sec   1.067 ms    0/ 2362 (0%)
[  3] 49.0-50.0 sec  3.60 MBytes  30.2 Mbits/sec   1.611 ms    1/ 2567 (0.039%)
[  3] 50.0-51.0 sec  4.29 MBytes  36.0 Mbits/sec   0.493 ms    2/ 3060 (0.065%)
[  3] 51.0-52.0 sec  3.11 MBytes  26.1 Mbits/sec   0.277 ms    1/ 2217 (0.045%)
[  3] 52.0-53.0 sec  3.93 MBytes  32.9 Mbits/sec   1.089 ms    2/ 2803 (0.071%)
[  3] 53.0-54.0 sec  2.96 MBytes  24.8 Mbits/sec   2.482 ms    1/ 2112 (0.047%)
[  3] 54.0-55.0 sec  4.45 MBytes  37.3 Mbits/sec   2.286 ms    1/ 3176 (0.031%)
[  3] 55.0-56.0 sec  3.89 MBytes  32.6 Mbits/sec   0.752 ms    0/ 2775 (0%)
[  3] 56.0-57.0 sec  3.78 MBytes  31.7 Mbits/sec   0.559 ms    3/ 2696 (0.11%)
[  3] 57.0-58.0 sec  3.71 MBytes  31.1 Mbits/sec   0.685 ms    1/ 2649 (0.038%)
[  3] 58.0-59.0 sec  3.81 MBytes  32.0 Mbits/sec   0.427 ms    1/ 2720 (0.037%)
[  3] 59.0-60.0 sec  3.08 MBytes  25.9 Mbits/sec   0.345 ms    1/ 2201 (0.045%)
[  3] 60.0-61.0 sec  3.68 MBytes  30.9 Mbits/sec   0.935 ms    1/ 2629 (0.038%)
[  3] 61.0-62.0 sec  3.55 MBytes  29.8 Mbits/sec   0.871 ms    1/ 2531 (0.04%)
[  3] 62.0-63.0 sec  2.96 MBytes  24.9 Mbits/sec   1.022 ms    1/ 2115 (0.047%)
[  3] 63.0-64.0 sec  4.66 MBytes  39.1 Mbits/sec   1.364 ms    1/ 3323 (0.03%)
[  3] 64.0-65.0 sec  3.79 MBytes  31.8 Mbits/sec   1.280 ms    2/ 2703 (0.074%)
[  3] 65.0-66.0 sec  2.58 MBytes  21.7 Mbits/sec   1.990 ms    1/ 1843 (0.054%)
[  3] 66.0-67.0 sec  3.16 MBytes  26.5 Mbits/sec   1.596 ms    0/ 2257 (0%)
[  3] 67.0-68.0 sec  3.17 MBytes  26.6 Mbits/sec   2.650 ms    0/ 2264 (0%)
[  3] 68.0-69.0 sec  3.81 MBytes  31.9 Mbits/sec   0.950 ms    1/ 2717 (0.037%)
[  3] 69.0-70.0 sec  3.11 MBytes  26.1 Mbits/sec   1.535 ms    1/ 2220 (0.045%)
[  3] 70.0-71.0 sec  3.28 MBytes  27.5 Mbits/sec   3.118 ms    0/ 2341 (0%)
[  3] 71.0-72.0 sec  3.13 MBytes  26.3 Mbits/sec   0.822 ms    1/ 2234 (0.045%)
[  3] 72.0-73.0 sec  3.26 MBytes  27.3 Mbits/sec   1.928 ms    0/ 2322 (0%)
[  3] 73.0-74.0 sec  3.34 MBytes  28.0 Mbits/sec   0.826 ms    1/ 2380 (0.042%)
[  3] 74.0-75.0 sec  3.03 MBytes  25.4 Mbits/sec   1.309 ms    2/ 2161 (0.093%)
[  3] 75.0-76.0 sec  3.07 MBytes  25.8 Mbits/sec   4.638 ms    0/ 2193 (0%)
[  3] 76.0-77.0 sec  3.19 MBytes  26.8 Mbits/sec   0.356 ms    2/ 2277 (0.088%)
[  3] 77.0-78.0 sec  3.04 MBytes  25.5 Mbits/sec   2.520 ms    2/ 2171 (0.092%)
[  3] 78.0-79.0 sec  5.10 MBytes  42.7 Mbits/sec   0.611 ms    1/ 3636 (0.028%)
[  3] 79.0-80.0 sec  3.78 MBytes  31.7 Mbits/sec   0.533 ms    1/ 2696 (0.037%)
[  3] 80.0-81.0 sec  2.70 MBytes  22.6 Mbits/sec   3.969 ms    2/ 1926 (0.1%)
[  3] 81.0-82.0 sec  3.09 MBytes  25.9 Mbits/sec   0.347 ms    1/ 2206 (0.045%)
[  3] 82.0-83.0 sec  3.27 MBytes  27.5 Mbits/sec   1.851 ms    0/ 2336 (0%)
[  3] 83.0-84.0 sec  2.43 MBytes  20.4 Mbits/sec   1.372 ms    2/ 1735 (0.12%)
[  3] 84.0-85.0 sec  3.80 MBytes  31.9 Mbits/sec   1.582 ms    0/ 2710 (0%)
[  3] 85.0-86.0 sec  2.93 MBytes  24.6 Mbits/sec   0.738 ms    1/ 2089 (0.048%)
[  3] 86.0-87.0 sec  3.88 MBytes  32.6 Mbits/sec   1.042 ms    1/ 2772 (0.036%)
[  3] 87.0-88.0 sec  4.00 MBytes  33.5 Mbits/sec   1.204 ms    0/ 2851 (0%)
[  3] 88.0-89.0 sec  3.46 MBytes  29.0 Mbits/sec   0.881 ms   10/ 2480 (0.4%)
[  3] 89.0-90.0 sec  2.72 MBytes  22.8 Mbits/sec   0.574 ms    1/ 1943 (0.051%)
[  3] 90.0-91.0 sec  3.08 MBytes  25.9 Mbits/sec   1.689 ms    1/ 2200 (0.045%)
[  3] 91.0-92.0 sec  2.80 MBytes  23.4 Mbits/sec   1.902 ms    1/ 1995 (0.05%)
[  3] 92.0-93.0 sec  4.06 MBytes  34.1 Mbits/sec   0.394 ms    3/ 2901 (0.1%)
[  3] 93.0-94.0 sec  4.44 MBytes  37.2 Mbits/sec   1.099 ms    1/ 3168 (0.032%)
[  3] 94.0-95.0 sec  3.30 MBytes  27.7 Mbits/sec   0.233 ms    1/ 2353 (0.042%)
[  3] 95.0-96.0 sec  3.09 MBytes  26.0 Mbits/sec   1.005 ms    1/ 2208 (0.045%)
[  3] 96.0-97.0 sec  4.35 MBytes  36.5 Mbits/sec   2.790 ms    4/ 3108 (0.13%)
[  3] 97.0-98.0 sec  2.98 MBytes  25.0 Mbits/sec   2.988 ms    2/ 2125 (0.094%)
[  3] 98.0-99.0 sec  3.64 MBytes  30.6 Mbits/sec   3.626 ms    3/ 2602 (0.12%)
[  3] 99.0-100.0 sec  2.70 MBytes  22.7 Mbits/sec   0.553 ms    1/ 1928 (0.052%)
[  3] 100.0-101.0 sec  4.54 MBytes  38.1 Mbits/sec   2.113 ms    0/ 3242 (0%)
[  3] 101.0-102.0 sec  2.92 MBytes  24.5 Mbits/sec   0.555 ms    0/ 2082 (0%)
[  3] 102.0-103.0 sec  3.94 MBytes  33.0 Mbits/sec   1.408 ms    1/ 2808 (0.036%)
[  3] 103.0-104.0 sec  4.04 MBytes  33.9 Mbits/sec   4.662 ms    1/ 2885 (0.035%)
[  3] 104.0-105.0 sec  2.74 MBytes  23.0 Mbits/sec   4.156 ms    2/ 1955 (0.1%)
[  3] 105.0-106.0 sec  3.48 MBytes  29.2 Mbits/sec   1.217 ms    0/ 2481 (0%)
[  3] 106.0-107.0 sec  3.34 MBytes  28.0 Mbits/sec   1.281 ms    2/ 2384 (0.084%)
[  3] 107.0-108.0 sec  3.50 MBytes  29.4 Mbits/sec   2.878 ms    0/ 2498 (0%)
[  3] 108.0-109.0 sec  3.64 MBytes  30.5 Mbits/sec   3.947 ms    1/ 2597 (0.039%)
[  3] 109.0-110.0 sec  3.24 MBytes  27.1 Mbits/sec   1.883 ms    4/ 2312 (0.17%)
[  3] 110.0-111.0 sec  4.55 MBytes  38.2 Mbits/sec   1.753 ms    0/ 3247 (0%)
[  3] 111.0-112.0 sec  2.81 MBytes  23.5 Mbits/sec   2.314 ms    1/ 2002 (0.05%)
[  3] 112.0-113.0 sec  3.41 MBytes  28.6 Mbits/sec   0.733 ms    1/ 2435 (0.041%)
[  3] 113.0-114.0 sec  3.89 MBytes  32.7 Mbits/sec   3.005 ms    1/ 2779 (0.036%)
[  3] 114.0-115.0 sec  3.53 MBytes  29.6 Mbits/sec   8.671 ms    1/ 2517 (0.04%)
[  3] 115.0-116.0 sec  4.06 MBytes  34.1 Mbits/sec   2.783 ms    0/ 2897 (0%)
[  3] 116.0-117.0 sec  2.83 MBytes  23.7 Mbits/sec   2.270 ms    1/ 2019 (0.05%)
[  3] 117.0-118.0 sec  5.39 MBytes  45.2 Mbits/sec   0.689 ms    0/ 3845 (0%)
[  3] 118.0-119.0 sec  4.04 MBytes  33.9 Mbits/sec   0.747 ms    1/ 2880 (0.035%)
[  3] 119.0-120.0 sec  3.76 MBytes  31.6 Mbits/sec   1.753 ms    2/ 2686 (0.074%)
[  3] 120.0-121.0 sec  4.18 MBytes  35.0 Mbits/sec   0.804 ms    1/ 2981 (0.034%)
[  3] 121.0-122.0 sec  2.68 MBytes  22.4 Mbits/sec   2.100 ms    2/ 1911 (0.1%)
[  3] 122.0-123.0 sec  2.58 MBytes  21.6 Mbits/sec   1.322 ms    2/ 1840 (0.11%)
[  3] 123.0-124.0 sec  3.73 MBytes  31.3 Mbits/sec   0.797 ms    2/ 2664 (0.075%)
[  3] 124.0-125.0 sec  3.52 MBytes  29.5 Mbits/sec   2.535 ms    1/ 2509 (0.04%)
[  3] 125.0-126.0 sec  3.68 MBytes  30.8 Mbits/sec   0.890 ms    1/ 2624 (0.038%)
[  3] 126.0-127.0 sec  3.37 MBytes  28.3 Mbits/sec   0.285 ms    2/ 2408 (0.083%)
[  3] 127.0-128.0 sec  2.84 MBytes  23.8 Mbits/sec   2.471 ms    2/ 2025 (0.099%)
[  3] 128.0-129.0 sec  3.21 MBytes  26.9 Mbits/sec   3.059 ms    3/ 2291 (0.13%)
[  3] 129.0-130.0 sec  5.29 MBytes  44.4 Mbits/sec   0.897 ms    0/ 3775 (0%)
[  3] 130.0-131.0 sec  3.73 MBytes  31.3 Mbits/sec   0.795 ms    0/ 2659 (0%)
[  3] 131.0-132.0 sec  2.67 MBytes  22.4 Mbits/sec   0.847 ms    1/ 1902 (0.053%)
[  3] 132.0-133.0 sec  2.68 MBytes  22.5 Mbits/sec   2.303 ms    1/ 1913 (0.052%)
[  3] 133.0-134.0 sec  4.00 MBytes  33.6 Mbits/sec   1.177 ms    1/ 2857 (0.035%)
[  3] 134.0-135.0 sec  3.87 MBytes  32.5 Mbits/sec   0.261 ms    0/ 2763 (0%)
[  3] 135.0-136.0 sec  3.38 MBytes  28.4 Mbits/sec   1.684 ms    1/ 2412 (0.041%)
[  3] 136.0-137.0 sec  3.27 MBytes  27.5 Mbits/sec   0.879 ms    0/ 2335 (0%)
[  3] 137.0-138.0 sec  3.25 MBytes  27.2 Mbits/sec   0.461 ms    2/ 2319 (0.086%)
[  3] 138.0-139.0 sec  4.34 MBytes  36.4 Mbits/sec   0.688 ms    0/ 3099 (0%)
[  3] 139.0-140.0 sec  3.30 MBytes  27.7 Mbits/sec   1.109 ms    0/ 2355 (0%)
[  3] 140.0-141.0 sec  3.27 MBytes  27.5 Mbits/sec   2.273 ms    1/ 2337 (0.043%)
[  3] 141.0-142.0 sec  2.84 MBytes  23.8 Mbits/sec   0.882 ms    1/ 2028 (0.049%)
[  3] 142.0-143.0 sec  2.65 MBytes  22.3 Mbits/sec   1.004 ms    3/ 1896 (0.16%)
[  3] 143.0-144.0 sec  3.65 MBytes  30.6 Mbits/sec   2.754 ms    2/ 2607 (0.077%)
[  3] 144.0-145.0 sec  4.40 MBytes  36.9 Mbits/sec   1.365 ms    0/ 3138 (0%)
[  3] 145.0-146.0 sec  2.86 MBytes  24.0 Mbits/sec   1.282 ms    2/ 2041 (0.098%)
[  3] 146.0-147.0 sec  4.69 MBytes  39.3 Mbits/sec   1.150 ms    5/ 3347 (0.15%)
[  3] 147.0-148.0 sec  2.38 MBytes  20.0 Mbits/sec   1.040 ms    8/ 1709 (0.47%)
[  3] 148.0-149.0 sec  4.27 MBytes  35.8 Mbits/sec   1.344 ms    1/ 3047 (0.033%)
[  3] 149.0-150.0 sec  3.17 MBytes  26.6 Mbits/sec   0.903 ms    1/ 2265 (0.044%)
[  3] 150.0-151.0 sec  3.38 MBytes  28.4 Mbits/sec   1.352 ms    1/ 2415 (0.041%)
[  3] 151.0-152.0 sec  3.11 MBytes  26.1 Mbits/sec   0.413 ms    2/ 2219 (0.09%)
[  3] 152.0-153.0 sec  2.80 MBytes  23.4 Mbits/sec   2.662 ms    3/ 1997 (0.15%)
[  3] 153.0-154.0 sec  4.07 MBytes  34.2 Mbits/sec   0.685 ms    2/ 2907 (0.069%)
[  3] 154.0-155.0 sec  3.39 MBytes  28.4 Mbits/sec   1.830 ms    0/ 2415 (0%)
[  3] 155.0-156.0 sec  2.51 MBytes  21.1 Mbits/sec   0.604 ms    5/ 1798 (0.28%)
[  3] 156.0-157.0 sec  2.69 MBytes  22.6 Mbits/sec   0.319 ms    2/ 1923 (0.1%)
[  3] 157.0-158.0 sec  3.23 MBytes  27.1 Mbits/sec   0.900 ms    1/ 2307 (0.043%)
[  3] 158.0-159.0 sec  3.24 MBytes  27.2 Mbits/sec   0.696 ms    1/ 2315 (0.043%)
[  3] 159.0-160.0 sec  3.82 MBytes  32.1 Mbits/sec   0.665 ms    5/ 2733 (0.18%)
[  3] 160.0-161.0 sec  2.63 MBytes  22.1 Mbits/sec   1.090 ms    2/ 1878 (0.11%)
[  3] 161.0-162.0 sec  3.90 MBytes  32.7 Mbits/sec   0.891 ms    5/ 2789 (0.18%)
[  3] 162.0-163.0 sec  3.47 MBytes  29.1 Mbits/sec   0.327 ms    0/ 2475 (0%)
[  3] 163.0-164.0 sec  3.27 MBytes  27.4 Mbits/sec   0.814 ms    1/ 2330 (0.043%)
[  3] 164.0-165.0 sec  3.00 MBytes  25.2 Mbits/sec   0.537 ms    2/ 2144 (0.093%)
[  3] 165.0-166.0 sec  4.80 MBytes  40.3 Mbits/sec   0.705 ms    0/ 3425 (0%)
[  3] 166.0-167.0 sec  3.13 MBytes  26.3 Mbits/sec   1.586 ms    2/ 2238 (0.089%)
[  3] 167.0-168.0 sec  3.77 MBytes  31.6 Mbits/sec   1.763 ms    2/ 2693 (0.074%)
[  3] 168.0-169.0 sec  3.50 MBytes  29.4 Mbits/sec   0.185 ms    6/ 2505 (0.24%)
[  3] 169.0-170.0 sec  3.61 MBytes  30.3 Mbits/sec   3.186 ms    0/ 2573 (0%)
[  3] 170.0-171.0 sec  3.97 MBytes  33.3 Mbits/sec   0.340 ms    1/ 2832 (0.035%)
[  3] 171.0-172.0 sec  2.89 MBytes  24.2 Mbits/sec   1.507 ms    3/ 2061 (0.15%)
[  3] 172.0-173.0 sec  3.29 MBytes  27.6 Mbits/sec   1.163 ms    0/ 2346 (0%)
[  3] 173.0-174.0 sec  3.03 MBytes  25.4 Mbits/sec   1.361 ms    1/ 2165 (0.046%)
[  3] 174.0-175.0 sec  3.21 MBytes  26.9 Mbits/sec   0.760 ms    3/ 2292 (0.13%)
[  3] 175.0-176.0 sec  3.82 MBytes  32.1 Mbits/sec   1.529 ms    1/ 2727 (0.037%)
[  3] 176.0-177.0 sec  3.95 MBytes  33.2 Mbits/sec   2.630 ms    1/ 2820 (0.035%)
[  3] 177.0-178.0 sec  3.02 MBytes  25.4 Mbits/sec   0.640 ms    1/ 2157 (0.046%)
[  3] 178.0-179.0 sec  3.57 MBytes  30.0 Mbits/sec   0.270 ms    0/ 2549 (0%)
[  3] 179.0-180.0 sec  3.23 MBytes  27.1 Mbits/sec   2.155 ms    2/ 2303 (0.087%)
[  3] 180.0-181.0 sec  4.40 MBytes  36.9 Mbits/sec   1.549 ms    1/ 3137 (0.032%)
[  3] 181.0-182.0 sec  3.78 MBytes  31.7 Mbits/sec   0.647 ms    0/ 2696 (0%)
[  3] 182.0-183.0 sec  2.96 MBytes  24.8 Mbits/sec   3.539 ms    1/ 2112 (0.047%)
[  3] 183.0-184.0 sec  2.98 MBytes  25.0 Mbits/sec   1.745 ms    2/ 2130 (0.094%)
[  3] 184.0-185.0 sec  4.13 MBytes  34.7 Mbits/sec   2.775 ms    0/ 2949 (0%)
[  3] 185.0-186.0 sec  4.55 MBytes  38.1 Mbits/sec   0.967 ms    0/ 3244 (0%)
[  3] 186.0-187.0 sec  3.39 MBytes  28.4 Mbits/sec   0.853 ms    1/ 2416 (0.041%)
[  3] 187.0-188.0 sec  4.49 MBytes  37.7 Mbits/sec   0.340 ms    1/ 3207 (0.031%)
[  3] 188.0-189.0 sec  3.36 MBytes  28.2 Mbits/sec   0.550 ms    0/ 2395 (0%)
[  3] 189.0-190.0 sec  4.21 MBytes  35.3 Mbits/sec   1.397 ms    2/ 3004 (0.067%)
[  3] 190.0-191.0 sec  3.93 MBytes  33.0 Mbits/sec   0.383 ms    1/ 2807 (0.036%)
[  3] 191.0-192.0 sec  2.99 MBytes  25.1 Mbits/sec   2.241 ms    0/ 2131 (0%)
[  3] 192.0-193.0 sec  3.93 MBytes  32.9 Mbits/sec   3.423 ms    1/ 2801 (0.036%)
[  3] 193.0-194.0 sec  2.76 MBytes  23.2 Mbits/sec   2.304 ms    1/ 1970 (0.051%)
[  3] 194.0-195.0 sec  2.68 MBytes  22.5 Mbits/sec   0.272 ms    1/ 1914 (0.052%)
[  3] 195.0-196.0 sec  3.37 MBytes  28.3 Mbits/sec   0.595 ms    1/ 2406 (0.042%)
[  3] 196.0-197.0 sec  3.68 MBytes  30.8 Mbits/sec   0.652 ms    2/ 2624 (0.076%)
[  3] 197.0-198.0 sec  3.53 MBytes  29.6 Mbits/sec   0.547 ms    0/ 2518 (0%)
[  3] 198.0-199.0 sec  3.33 MBytes  28.0 Mbits/sec   4.068 ms    1/ 2378 (0.042%)
[  3] 199.0-200.0 sec  4.28 MBytes  35.9 Mbits/sec   3.003 ms    1/ 3057 (0.033%)
