------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.2.81 port 5001 connected with 192.168.2.85 port 58698
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  12.5 MBytes   105 Mbits/sec   0.450 ms    0/ 8896 (0%)
[  3]  1.0- 2.0 sec  12.7 MBytes   107 Mbits/sec   0.384 ms    0/ 9068 (0%)
[  3]  2.0- 3.0 sec  13.1 MBytes   110 Mbits/sec   0.275 ms    0/ 9314 (0%)
[  3]  3.0- 4.0 sec  13.2 MBytes   111 Mbits/sec   0.348 ms    0/ 9399 (0%)
[  3]  4.0- 5.0 sec  12.9 MBytes   108 Mbits/sec   0.167 ms    0/ 9219 (0%)
[  3]  5.0- 6.0 sec  12.8 MBytes   107 Mbits/sec   0.308 ms    1/ 9132 (0.011%)
[  3]  6.0- 7.0 sec  13.0 MBytes   109 Mbits/sec   0.177 ms    0/ 9266 (0%)
[  3]  7.0- 8.0 sec  14.2 MBytes   119 Mbits/sec   0.120 ms    0/10153 (0%)
[  3]  8.0- 9.0 sec  12.9 MBytes   108 Mbits/sec   0.218 ms    0/ 9204 (0%)
[  3]  9.0-10.0 sec  9.49 MBytes  79.6 Mbits/sec   0.209 ms    0/ 6768 (0%)
[  3] 10.0-11.0 sec  12.1 MBytes   101 Mbits/sec   0.138 ms    0/ 8614 (0%)
[  3] 11.0-12.0 sec  7.74 MBytes  64.9 Mbits/sec   0.741 ms    0/ 5518 (0%)
[  3] 12.0-13.0 sec  7.34 MBytes  61.6 Mbits/sec   0.633 ms    0/ 5235 (0%)
[  3] 13.0-14.0 sec  3.83 MBytes  32.1 Mbits/sec   1.293 ms    0/ 2730 (0%)
[  3] 14.0-15.0 sec  3.17 MBytes  26.6 Mbits/sec   1.760 ms    0/ 2261 (0%)
[  3] 15.0-16.0 sec  3.39 MBytes  28.4 Mbits/sec   0.186 ms    9/ 2428 (0.37%)
[  3] 16.0-17.0 sec  5.01 MBytes  42.0 Mbits/sec   2.141 ms    4/ 3577 (0.11%)
[  3] 17.0-18.0 sec  3.97 MBytes  33.3 Mbits/sec   2.115 ms    0/ 2835 (0%)
[  3] 18.0-19.0 sec  3.88 MBytes  32.6 Mbits/sec   1.242 ms    0/ 2769 (0%)
[  3] 19.0-20.0 sec  4.83 MBytes  40.5 Mbits/sec   2.120 ms    1/ 3449 (0.029%)
[  3] 20.0-21.0 sec  3.21 MBytes  27.0 Mbits/sec   1.093 ms    0/ 2292 (0%)
[  3] 21.0-22.0 sec  2.88 MBytes  24.1 Mbits/sec   7.353 ms    1/ 2053 (0.049%)
[  3] 22.0-23.0 sec  4.85 MBytes  40.7 Mbits/sec   0.132 ms    0/ 3462 (0%)
[  3] 23.0-24.0 sec  4.63 MBytes  38.8 Mbits/sec   0.759 ms    0/ 3300 (0%)
[  3] 24.0-25.0 sec  3.57 MBytes  30.0 Mbits/sec   0.704 ms    2/ 2551 (0.078%)
[  3] 25.0-26.0 sec  4.56 MBytes  38.3 Mbits/sec   0.404 ms    0/ 3255 (0%)
[  3] 26.0-27.0 sec  3.62 MBytes  30.4 Mbits/sec   1.165 ms    0/ 2585 (0%)
[  3] 27.0-28.0 sec  3.84 MBytes  32.2 Mbits/sec   1.366 ms    1/ 2738 (0.037%)
[  3] 28.0-29.0 sec  4.50 MBytes  37.7 Mbits/sec   2.460 ms    0/ 3210 (0%)
[  3] 29.0-30.0 sec  3.47 MBytes  29.1 Mbits/sec   0.400 ms    4/ 2481 (0.16%)
[  3] 30.0-31.0 sec  4.06 MBytes  34.1 Mbits/sec   2.145 ms    2/ 2898 (0.069%)
[  3] 31.0-32.0 sec  4.66 MBytes  39.1 Mbits/sec   1.132 ms    0/ 3322 (0%)
[  3] 32.0-33.0 sec  4.39 MBytes  36.8 Mbits/sec   0.971 ms    1/ 3133 (0.032%)
[  3] 33.0-34.0 sec  4.34 MBytes  36.4 Mbits/sec   0.494 ms    0/ 3099 (0%)
[  3] 34.0-35.0 sec  3.52 MBytes  29.5 Mbits/sec   1.012 ms    1/ 2513 (0.04%)
[  3] 35.0-36.0 sec  4.06 MBytes  34.1 Mbits/sec   0.189 ms    0/ 2899 (0%)
[  3] 36.0-37.0 sec  4.08 MBytes  34.2 Mbits/sec   2.176 ms    0/ 2907 (0%)
[  3] 37.0-38.0 sec  4.01 MBytes  33.6 Mbits/sec   0.958 ms    1/ 2859 (0.035%)
[  3] 38.0-39.0 sec  4.55 MBytes  38.2 Mbits/sec   1.816 ms    1/ 3247 (0.031%)
[  3] 39.0-40.0 sec  3.77 MBytes  31.6 Mbits/sec   0.845 ms    2/ 2688 (0.074%)
[  3] 40.0-41.0 sec  3.45 MBytes  28.9 Mbits/sec   3.703 ms    0/ 2460 (0%)
[  3] 41.0-42.0 sec  3.19 MBytes  26.8 Mbits/sec   2.699 ms    1/ 2278 (0.044%)
[  3] 42.0-43.0 sec  3.61 MBytes  30.3 Mbits/sec   2.506 ms    1/ 2574 (0.039%)
