------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.2.81 port 5001 connected with 192.168.2.85 port 41905
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  16.0 MBytes   134 Mbits/sec   0.410 ms    0/11386 (0%)
[  3]  1.0- 2.0 sec  16.2 MBytes   136 Mbits/sec   0.624 ms    0/11561 (0%)
[  3]  2.0- 3.0 sec  16.8 MBytes   141 Mbits/sec   0.323 ms    0/11950 (0%)
[  3]  3.0- 4.0 sec  16.2 MBytes   136 Mbits/sec   0.120 ms    0/11549 (0%)
[  3]  4.0- 5.0 sec  16.8 MBytes   141 Mbits/sec   0.157 ms    7/11963 (0.059%)
[  3]  5.0- 6.0 sec  16.2 MBytes   136 Mbits/sec   0.525 ms   14/11585 (0.12%)
[  3]  6.0- 7.0 sec  16.3 MBytes   136 Mbits/sec   0.586 ms    8/11612 (0.069%)
[  3]  7.0- 8.0 sec  15.5 MBytes   130 Mbits/sec   0.297 ms   11/11059 (0.099%)
[  3]  8.0- 9.0 sec  16.0 MBytes   134 Mbits/sec   0.338 ms   11/11445 (0.096%)
[  3]  9.0-10.0 sec  16.1 MBytes   135 Mbits/sec   0.191 ms    4/11478 (0.035%)
[  3] 10.0-11.0 sec  15.8 MBytes   132 Mbits/sec   0.432 ms   58/11321 (0.51%)
[  3] 11.0-12.0 sec  9.44 MBytes  79.2 Mbits/sec   1.136 ms    4/ 6735 (0.059%)
[  3] 12.0-13.0 sec  7.97 MBytes  66.9 Mbits/sec   1.043 ms    3/ 5690 (0.053%)
[  3] 13.0-14.0 sec  6.63 MBytes  55.6 Mbits/sec   3.162 ms    0/ 4728 (0%)
[  3] 14.0-15.0 sec  4.28 MBytes  35.9 Mbits/sec   4.405 ms    0/ 3051 (0%)
[  3] 15.0-16.0 sec  4.19 MBytes  35.2 Mbits/sec   0.606 ms    4/ 2996 (0.13%)
[  3] 16.0-17.0 sec  3.76 MBytes  31.6 Mbits/sec   4.435 ms    0/ 2683 (0%)
[  3] 17.0-18.0 sec  4.52 MBytes  37.9 Mbits/sec   1.549 ms    0/ 3225 (0%)
[  3] 18.0-19.0 sec  4.40 MBytes  36.9 Mbits/sec   0.146 ms    0/ 3139 (0%)
[  3] 19.0-20.0 sec  5.52 MBytes  46.3 Mbits/sec   1.969 ms    0/ 3936 (0%)
[  3] 20.0-21.0 sec  3.92 MBytes  32.9 Mbits/sec   0.961 ms    0/ 2796 (0%)
[  3] 21.0-22.0 sec  4.55 MBytes  38.2 Mbits/sec   1.399 ms    0/ 3249 (0%)
[  3] 22.0-23.0 sec  4.94 MBytes  41.4 Mbits/sec   0.268 ms    0/ 3523 (0%)
[  3] 23.0-24.0 sec  4.10 MBytes  34.4 Mbits/sec   0.528 ms    0/ 2928 (0%)
[  3] 24.0-25.0 sec  5.64 MBytes  47.3 Mbits/sec   0.927 ms    3/ 4027 (0.074%)
[  3] 25.0-26.0 sec  5.13 MBytes  43.0 Mbits/sec   1.837 ms    5/ 3662 (0.14%)
[  3] 26.0-27.0 sec  4.27 MBytes  35.8 Mbits/sec   3.676 ms    0/ 3048 (0%)
[  3] 27.0-28.0 sec  4.00 MBytes  33.5 Mbits/sec   1.365 ms    0/ 2851 (0%)
[  3] 28.0-29.0 sec  5.21 MBytes  43.7 Mbits/sec   0.966 ms    0/ 3715 (0%)
[  3] 29.0-30.0 sec  4.62 MBytes  38.7 Mbits/sec   0.883 ms    0/ 3295 (0%)
[  3] 30.0-31.0 sec  4.10 MBytes  34.4 Mbits/sec   2.351 ms    2/ 2929 (0.068%)
[  3] 31.0-32.0 sec  4.07 MBytes  34.2 Mbits/sec   2.024 ms    0/ 2904 (0%)
[  3] 32.0-33.0 sec  5.49 MBytes  46.0 Mbits/sec   2.176 ms    0/ 3914 (0%)
[  3] 33.0-34.0 sec  4.71 MBytes  39.5 Mbits/sec   6.132 ms    0/ 3358 (0%)
[  3] 34.0-35.0 sec  3.36 MBytes  28.2 Mbits/sec   1.208 ms    0/ 2400 (0%)
[  3] 35.0-36.0 sec  4.19 MBytes  35.2 Mbits/sec   1.325 ms    0/ 2992 (0%)
[  3] 36.0-37.0 sec  3.68 MBytes  30.9 Mbits/sec   2.221 ms    1/ 2629 (0.038%)
[  3] 37.0-38.0 sec  4.41 MBytes  37.0 Mbits/sec   0.847 ms    2/ 3146 (0.064%)
[  3] 38.0-39.0 sec  3.40 MBytes  28.5 Mbits/sec   1.141 ms    2/ 2425 (0.082%)
[  3] 39.0-40.0 sec  3.56 MBytes  29.9 Mbits/sec   0.200 ms    0/ 2542 (0%)
[  3] 40.0-41.0 sec  4.94 MBytes  41.5 Mbits/sec   0.431 ms    0/ 3527 (0%)
[  3] 41.0-42.0 sec  4.09 MBytes  34.3 Mbits/sec   1.435 ms    0/ 2917 (0%)
[  3] 42.0-43.0 sec  4.45 MBytes  37.3 Mbits/sec   2.709 ms    1/ 3176 (0.031%)
[  3] 43.0-44.0 sec  2.67 MBytes  22.4 Mbits/sec   1.484 ms    1/ 1905 (0.052%)
[  3] 44.0-45.0 sec  3.92 MBytes  32.9 Mbits/sec   2.942 ms    0/ 2795 (0%)
[  3] 45.0-46.0 sec  3.97 MBytes  33.3 Mbits/sec   2.374 ms    0/ 2835 (0%)
[  3] 46.0-47.0 sec  4.00 MBytes  33.5 Mbits/sec   0.542 ms    3/ 2855 (0.11%)
[  3] 47.0-48.0 sec  4.34 MBytes  36.4 Mbits/sec   1.741 ms    0/ 3093 (0%)
[  3] 48.0-49.0 sec  4.07 MBytes  34.1 Mbits/sec   0.702 ms    0/ 2900 (0%)
[  3] 49.0-50.0 sec  4.05 MBytes  34.0 Mbits/sec   2.494 ms    0/ 2892 (0%)
[  3] 50.0-51.0 sec  4.37 MBytes  36.7 Mbits/sec   1.062 ms    3/ 3121 (0.096%)
[  3] 51.0-52.0 sec  3.92 MBytes  32.9 Mbits/sec   2.172 ms    0/ 2795 (0%)
[  3] 52.0-53.0 sec  3.39 MBytes  28.5 Mbits/sec   4.031 ms    2/ 2423 (0.083%)
[  3] 53.0-54.0 sec  3.22 MBytes  27.0 Mbits/sec   0.709 ms    0/ 2299 (0%)
[  3] 54.0-55.0 sec  3.94 MBytes  33.0 Mbits/sec   1.816 ms    0/ 2808 (0%)
[  3] 55.0-56.0 sec  4.28 MBytes  35.9 Mbits/sec   0.538 ms    0/ 3051 (0%)
